Client_ID,Years_as_Client,Credit_Score,Num_Products,Annual_Income,Loan_Amount,Loan_Duration_Years,Missed_Payments,Credit_Eligibility
1,7,327,5,91642,81719,10,3,1
2,20,639,1,106539,72774,18,4,1
3,29,630,5,51732,7090,8,4,1
4,15,805,5,121362,12637,8,5,0
5,11,647,5,60354,23415,7,5,0
6,8,772,3,43843,25071,8,0,1
7,29,530,4,140008,59243,14,1,1
8,21,489,2,144065,42240,19,4,1
9,7,524,3,101726,84807,6,3,0
10,26,684,5,47640,34434,1,2,0
11,19,676,1,82528,70724,15,3,0
12,23,582,5,68413,76697,1,1,0
13,11,558,4,82638,29732,17,5,1
14,11,658,5,82736,12314,1,3,1
15,24,755,1,137892,24954,15,0,1
16,21,710,4,140133,58108,2,1,0
17,4,617,5,136357,88044,14,5,0
18,8,524,4,98866,88505,8,2,0
19,24,533,2,49087,37668,8,5,1
20,3,673,2,71430,24061,19,0,1
21,22,771,5,54504,80252,7,1,0
22,21,532,4,37114,40749,19,2,1
23,2,412,1,108859,17907,6,0,0
24,24,796,5,129657,19777,6,5,0
25,12,741,2,40975,94229,3,0,1
26,6,567,2,41023,52745,7,1,0
27,2,809,5,51447,92865,19,4,1
28,28,685,4,120469,82818,8,0,0
29,21,686,2,53959,24624,10,0,1
30,1,412,4,96203,24321,15,5,1
31,12,380,2,149156,11488,15,5,1
32,26,412,2,59703,23574,1,2,0
33,22,301,3,39337,6240,7,5,0
34,29,519,2,76427,44221,4,3,1
35,12,524,1,91529,11478,6,1,1
36,25,684,5,132023,56645,1,1,0
37,17,702,5,114665,20262,5,4,0
38,27,429,4,135787,53796,1,4,0
39,27,352,2,61921,5432,4,1,1
40,10,715,1,63307,96257,2,4,0
41,28,546,4,57355,65291,10,2,0
42,28,738,3,133268,80104,5,5,1
43,16,502,4,34835,60399,10,1,0
44,15,483,4,50159,80714,1,4,0
45,15,422,2,134346,51428,6,1,0
46,19,700,3,77605,88731,13,3,1
47,12,593,4,135616,1302,15,0,1
48,23,579,1,68088,83558,4,5,1
49,20,497,1,108752,1055,13,1,1
50,25,810,5,85284,9717,15,0,1
51,3,443,3,87043,29699,8,4,1
52,5,500,3,65547,74686,5,0,1
53,19,423,5,127007,68661,15,5,0
54,7,486,4,112844,45247,4,1,0
55,21,625,3,57532,17748,12,3,1
56,9,763,1,64349,5621,13,4,0
57,7,648,1,148012,16034,2,1,0
58,18,702,2,75445,6126,19,5,1
59,4,645,3,35713,6122,19,4,0
60,25,810,4,86178,19030,4,2,0
61,28,446,5,79407,83838,4,0,0
62,14,447,5,100340,85717,11,5,0
63,18,788,4,80990,56658,5,2,0
64,26,850,2,105672,39638,11,1,1
65,9,637,5,95545,68067,10,3,1
66,26,772,3,114791,89869,8,4,1
67,21,450,2,88141,35674,6,0,0
68,2,714,3,53793,36854,6,4,1
