Client_ID,Years_as_Client,Credit_Score,Num_Products,Annual_Income,Loan_Amount,Loan_Duration_Years,Missed_Payments,Credit_Eligibility
1,12.5,457.0,5.0,61030.0,12442.0,17.6,0.0,0
2,9.3,520.0,2.0,150000.0,53970.0,13.9,1.0,0
3,13.2,475.0,2.0,38267.0,17168.0,7.0,1.0,1
4,17.6,342.0,2.0,58196.0,21529.0,2.1,3.0,1
5,8.8,379.0,4.0,39864.0,18850.0,9.3,1.0,1
6,8.8,816.0,4.0,42577.0,11857.0,9.2,1.0,0
7,17.9,304.0,5.0,49064.0,100000.0,5.2,1.0,0
8,13.8,361.0,5.0,70076.0,14097.0,12.8,1.0,0
9,7.7,542.0,1.0,110326.0,55335.0,19.2,0.0,1
10,12.7,345.0,3.0,58287.0,8232.0,11.1,2.0,0
11,7.7,479.0,1.0,40385.0,30789.0,10.8,0.0,0
12,7.7,404.0,2.0,40505.0,33894.0,5.3,0.0,1
13,11.2,349.0,3.0,55870.0,21552.0,17.0,2.0,1
14,1.0,418.0,4.0,35177.0,13175.0,9.6,2.0,1
15,1.4,341.0,2.0,32150.0,17379.0,7.1,1.0,1
16,7.2,389.0,1.0,38385.0,15322.0,10.3,1.0,1
17,4.9,456.0,3.0,36455.0,100000.0,12.4,1.0,0
18,11.6,506.0,5.0,36704.0,21583.0,10.7,0.0,1
19,5.5,361.0,3.0,35045.0,35327.0,16.0,0.0,0
20,2.9,349.0,3.0,30711.0,100000.0,11.9,2.0,0
21,17.3,320.0,5.0,30226.0,10010.0,8.6,2.0,1
22,8.9,514.0,4.0,115370.0,22786.0,12.0,2.0,1
23,10.3,764.0,3.0,40722.0,17287.0,12.5,0.0,1
24,2.9,533.0,4.0,39300.0,20383.0,3.5,0.0,0
25,7.3,574.0,3.0,51994.0,18749.0,15.7,1.0,1
26,10.6,346.0,1.0,34660.0,11399.0,8.5,0.0,1
27,4.2,448.0,1.0,88070.0,26262.0,8.6,2.0,1
28,11.9,493.0,5.0,59865.0,8464.0,13.8,2.0,1
29,7.0,329.0,3.0,31695.0,53637.0,13.7,0.0,1
30,8.5,302.0,3.0,40379.0,38599.0,6.5,1.0,0
31,7.0,319.0,3.0,70932.0,14128.0,14.0,2.0,0
32,19.3,388.0,4.0,86138.0,14758.0,7.2,3.0,0
33,9.9,361.0,5.0,42117.0,28225.0,19.1,2.0,1
34,4.7,443.0,4.0,48342.0,10735.0,5.9,2.0,1
35,14.1,513.0,2.0,33427.0,100000.0,11.2,0.0,1
36,3.9,381.0,3.0,121772.0,30398.0,6.1,1.0,0
37,11.0,406.0,5.0,34996.0,31380.0,20.0,2.0,1
38,1.0,304.0,2.0,85448.0,40672.0,3.8,1.0,1
39,3.4,576.0,4.0,50255.0,13075.0,12.6,0.0,1
40,11.0,480.0,1.0,48059.0,58695.0,6.3,0.0,0
41,13.7,407.0,3.0,43843.0,24418.0,8.2,0.0,1
42,10.9,360.0,4.0,34971.0,51799.0,12.3,0.0,0
43,9.4,421.0,5.0,33649.0,18432.0,16.1,2.0,1
44,8.5,351.0,2.0,34715.0,72081.0,18.1,1.0,0
45,2.6,369.0,1.0,33885.0,31609.0,2.3,1.0,0
46,6.4,438.0,3.0,59259.0,100000.0,11.3,1.0,0
47,7.7,466.0,1.0,38250.0,15795.0,17.3,1.0,1
48,15.3,462.0,3.0,31033.0,26479.0,1.6,1.0,1
49,11.7,346.0,3.0,97438.0,8704.0,11.6,0.0,0
50,1.2,306.0,1.0,71697.0,13679.0,10.0,2.0,0
51,11.6,321.0,4.0,80933.0,38439.0,12.1,1.0,1
52,8.1,630.0,3.0,132471.0,60864.0,6.1,1.0,1
53,6.6,363.0,5.0,33587.0,100000.0,2.8,2.0,0
54,13.1,401.0,1.0,39680.0,20192.0,1.0,0.0,1
55,15.2,516.0,1.0,57463.0,9510.0,14.9,2.0,1
56,14.7,378.0,4.0,53014.0,43390.0,15.5,1.0,1
57,5.8,504.0,2.0,33123.0,7982.0,11.5,2.0,1
58,8.5,376.0,3.0,62751.0,36602.0,7.3,2.0,0
59,11.7,351.0,3.0,34814.0,14016.0,1.9,0.0,1
60,14.9,711.0,3.0,34799.0,26647.0,12.8,2.0,1
61,7.6,538.0,2.0,44837.0,58803.0,4.5,1.0,0
62,9.1,563.0,3.0,47340.0,19937.0,6.4,1.0,0
63,4.5,322.0,2.0,46736.0,51001.0,7.1,1.0,1
64,4.0,346.0,4.0,31740.0,48332.0,9.0,1.0,1
65,14.1,399.0,3.0,70667.0,4114.0,6.2,2.0,1
66,16.8,373.0,3.0,35874.0,9785.0,10.2,2.0,1
67,9.6,497.0,5.0,32571.0,5401.0,6.9,1.0,0
68,15.0,470.0,1.0,72545.0,100000.0,13.5,0.0,0
69,11.8,591.0,5.0,90415.0,20033.0,15.2,1.0,0
70,6.8,364.0,1.0,68376.0,100000.0,10.5,2.0,1
71,11.8,420.0,1.0,62095.0,5066.0,12.3,3.0,1
72,17.7,554.0,1.0,50568.0,13154.0,20.0,2.0,1
73,9.8,360.0,1.0,45428.0,45272.0,4.1,0.0,1
74,17.8,348.0,3.0,31644.0,25883.0,3.8,1.0,0
75,1.0,591.0,3.0,40077.0,35581.0,13.5,3.0,0
76,14.1,634.0,3.0,38936.0,7126.0,19.7,2.0,1
77,10.4,373.0,3.0,35720.0,76048.0,8.7,1.0,0
78,8.5,399.0,4.0,54849.0,44325.0,18.6,2.0,1
79,10.5,575.0,4.0,43184.0,31617.0,10.5,0.0,1
80,1.0,492.0,1.0,31518.0,11884.0,6.6,1.0,0
81,8.9,314.0,2.0,34708.0,29479.0,5.0,1.0,1
82,11.8,338.0,3.0,52214.0,16944.0,13.1,1.0,1
83,17.4,406.0,4.0,31414.0,4987.0,5.4,2.0,0
84,7.4,525.0,2.0,66895.0,21049.0,10.4,0.0,1
85,6.0,452.0,3.0,43156.0,19129.0,17.9,2.0,1
86,7.5,405.0,3.0,42604.0,57306.0,8.5,1.0,0
87,14.6,364.0,2.0,47314.0,2948.0,16.6,1.0,1
88,11.6,698.0,2.0,63707.0,27219.0,3.9,0.0,0
89,7.4,389.0,3.0,38181.0,7785.0,7.3,2.0,1
90,12.6,524.0,3.0,51895.0,29357.0,3.0,2.0,0
91,10.5,385.0,4.0,46083.0,30849.0,10.4,0.0,0
92,14.8,317.0,1.0,35912.0,20370.0,13.9,0.0,0
