Client_ID,Years_as_Client,Credit_Score,Num_Products,Annual_Income,Loan_Amount,Loan_Duration_Years,Missed_Payments,Credit_Eligibility
1,12.5,476.0,4.0,48794.0,7801.0,6.3,4.0,0
2,9.3,334.0,1.0,77529.0,4824.0,19.5,1.0,0
3,13.2,434.0,3.0,44035.0,4383.0,10.2,3.0,0
4,17.6,669.0,5.0,43693.0,6504.0,13.8,5.0,0
5,8.8,308.0,1.0,31014.0,11636.0,7.0,2.0,0
6,8.8,593.0,2.0,30699.0,100000.0,11.8,3.0,0
7,17.9,420.0,4.0,45768.0,13721.0,11.6,4.0,0
8,13.8,325.0,3.0,41348.0,25848.0,1.0,3.0,0
9,7.7,403.0,4.0,65970.0,31585.0,20.0,4.0,0
10,12.7,472.0,4.0,33447.0,24784.0,16.5,3.0,0
11,7.7,340.0,4.0,30497.0,20544.0,8.0,4.0,0
12,7.7,441.0,5.0,41732.0,7512.0,4.5,5.0,0
13,11.2,611.0,4.0,35336.0,81295.0,11.7,5.0,0
14,1.0,355.0,3.0,31001.0,100000.0,10.4,4.0,0
15,1.4,331.0,4.0,55382.0,4845.0,11.8,4.0,0
16,7.2,383.0,5.0,32328.0,8764.0,11.0,5.0,0
17,4.9,398.0,3.0,48449.0,17123.0,12.5,3.0,0
18,11.6,524.0,2.0,36494.0,9246.0,17.2,2.0,0
19,5.5,380.0,5.0,33750.0,34730.0,12.8,5.0,0
20,2.9,361.0,3.0,39401.0,11436.0,4.8,4.0,0
21,17.3,330.0,1.0,61821.0,100000.0,16.8,1.0,0
22,8.9,320.0,4.0,39796.0,64311.0,18.2,5.0,0
23,10.3,320.0,2.0,57347.0,26671.0,20.0,3.0,0
24,2.9,372.0,3.0,32639.0,55508.0,4.4,3.0,0
25,7.3,314.0,3.0,59166.0,59594.0,11.2,4.0,0
26,10.6,389.0,3.0,35322.0,13259.0,1.0,3.0,0
27,4.2,663.0,4.0,52268.0,10566.0,12.8,4.0,0
28,11.9,529.0,2.0,46419.0,23631.0,7.3,2.0,0
29,7.0,372.0,4.0,82104.0,47833.0,19.6,4.0,0
30,8.5,842.0,3.0,39643.0,24963.0,6.1,3.0,0
31,7.0,398.0,4.0,31347.0,5328.0,1.6,4.0,0
32,19.3,412.0,4.0,30380.0,10694.0,7.6,5.0,0
33,9.9,381.0,2.0,64517.0,20608.0,1.0,2.0,0
34,4.7,390.0,5.0,44642.0,20576.0,13.8,5.0,0
35,14.1,353.0,2.0,59382.0,100000.0,1.0,2.0,0
36,3.9,373.0,4.0,35257.0,6327.0,10.1,4.0,0
37,11.0,594.0,4.0,38330.0,34719.0,1.0,4.0,0
38,1.0,549.0,5.0,30601.0,84137.0,8.4,5.0,0
39,3.4,304.0,3.0,94106.0,100000.0,18.2,3.0,0
